Ano,Sede,1º Lugar,2º Lugar,Placar Final,Jogadores de Destaque
1954,Suíça,Alemanha Oc.,Hungria,3 x 2,"Fritz Walter, Helmut Rahn, Max Morlock"
1974,Alemanha Oc.,Alemanha Oc.,Holanda,2 x 1,"Franz Beckenbauer, Gerd Müller, Sepp Maier"
1990,Itália,Alemanha Oc.,Argentina,1 x 0,"Lothar Matthäus, Jürgen Klinsmann, Andreas Brehme"
2014,Brasil,Alemanha,Argentina,1 x 0 (prorr.),"Thomas Müller, Manuel Neuer, Toni Kroos, Mario Götze"
